age,annual_spend,cluster,membership_years,num_purchases
21,851,3,7.4,17
31,492,1,5.3,7
30,788,3,0.3,14
50,980,2,8.7,17
53,973,2,0.6,17
44,1001,2,9.6,24
18,200,0,0.3,3
50,989,2,6.9,29
18,243,0,0.8,4
23,750,3,9.1,15
30,536,1,4.6,16
32,497,1,1.4,13
44,976,2,3.4,19
34,818,3,1.6,16
25,790,3,1.7,13
18,158,0,9.5,2
21,265,0,4.5,8
34,489,1,7.9,6
41,971,2,6.4,17
29,855,3,6.8,14
48,1062,2,1.3,17
32,443,1,2.3,8
18,159,0,7.9,1
25,783,3,9.7,8
24,778,3,2.6,16
38,512,1,2.7,6
18,93,0,4.7,1
22,849,3,9.8,16
22,881,3,2.7,14
30,884,3,4.1,14
40,365,1,8.9,3
53,971,2,0.0,16
35,814,3,0.4,14
24,258,0,6.0,7
30,765,3,9.1,13
53,973,2,2.4,20
26,855,3,4.7,15
18,143,0,4.5,1
35,417,1,4.7,9
29,848,3,6.2,11
25,762,3,4.7,20
49,1033,2,4.5,15
34,593,1,4.7,7
43,1053,2,5.9,23
28,715,3,5.4,8
27,816,3,8.5,16
33,791,3,0.5,10
27,829,3,8.3,15
23,273,0,8.4,10
40,1077,2,2.8,20
18,815,3,4.6,11
25,258,0,4.4,5
27,828,3,2.2,18
39,932,2,4.0,23
54,1031,2,0.4,21
46,1034,2,2.8,18
24,803,3,8.2,27
39,936,2,2.8,17
18,217,0,8.2,1
18,293,0,5.3,7
30,479,1,8.8,7
20,204,0,5.7,10
32,538,1,0.3,14
27,830,3,6.8,12
30,514,1,0.4,9
23,859,3,4.5,22
29,449,1,9.3,15
32,398,1,1.7,8
26,252,0,3.9,6
33,426,1,7.3,6
35,424,1,8.8,11
18,750,3,6.7,14
22,842,3,2.6,12
31,523,1,6.7,9
26,309,0,3.0,5
49,933,2,7.2,18
41,479,1,9.5,11
28,796,3,7.2,19
31,483,1,8.6,10
62,1034,2,0.0,25
34,511,1,7.2,10
37,509,1,8.3,3
18,161,0,0.4,4
22,225,0,8.7,4
22,231,0,2.6,8
21,868,3,6.7,20
20,158,0,8.0,4
18,209,0,6.6,3
51,949,2,0.9,14
55,1029,2,6.0,21
36,583,1,5.5,16
18,216,0,9.0,1
30,474,1,4.0,9
35,482,1,3.2,7
23,170,0,7.5,3
40,457,1,4.1,7
42,526,1,6.5,6
22,140,0,6.5,5
25,744,3,8.9,13
20,193,0,6.0,5
53,990,2,5.0,17
18,216,0,1.4,7
23,192,0,1.2,2
18,782,3,1.5,21
30,503,1,1.7,13
37,576,1,6.4,10
52,1013,2,7.4,21
20,234,0,5.3,2
19,802,3,8.3,11
24,857,3,9.9,17
34,519,1,8.2,15
22,735,3,6.9,11
30,199,0,5.3,3
23,869,3,4.5,17
26,503,1,0.8,14
26,713,3,4.0,13
30,457,1,9.1,10
30,803,3,8.1,11
51,973,2,2.2,16
26,750,3,4.7,14
32,657,3,8.2,10
18,835,3,0.7,16
18,291,0,3.9,4
18,211,0,8.5,6
28,762,3,4.0,15
55,950,2,0.8,20
24,880,3,5.4,17
32,824,3,8.6,20
50,1008,2,5.9,15
46,972,2,2.3,22
32,787,3,3.8,9
22,158,0,4.5,2
32,511,1,5.8,8
19,819,3,7.6,15
20,164,0,1.0,1
19,173,0,8.9,3
18,205,0,0.1,3
46,1041,2,3.7,11
53,1004,2,0.3,16
22,745,3,3.9,9
