applicant_id,age,income,loan_amount,loan_term_months,credit_score,employment_years,debt_to_income,num_credit_lines,late_payments_2y,race,gender,default
36,45,42934.0,19608.0,24,628,4,0.178,2,0,White,Male,1
37,33,52299.0,40271.0,48,583,18,0.389,4,0,Other,Male,1
38,32,40618.0,20213.0,24,737,2,0.33,0,0,White,Male,0
39,64,27782.0,37788.0,24,719,0,0.595,2,0,White,Female,0
40,68,40801.0,7149.0,36,610,4,0.591,0,1,Black,Male,0
41,61,69160.0,38866.0,60,696,11,0.399,5,0,White,Male,0
42,72,19616.0,12610.0,24,529,7,0.294,1,0,Other,Male,0
43,69,39332.0,34192.0,24,664,4,0.32,1,1,Asian,Female,0
44,74,23859.0,28723.0,48,686,1,0.425,1,1,White,Male,0
45,20,74386.0,46528.0,36,786,3,0.106,5,1,Black,Male,0
46,54,14561.0,19979.0,60,588,0,0.231,2,2,White,Male,1
47,68,25969.0,4242.0,24,547,5,0.091,2,0,Black,Female,1
48,24,45539.0,1939.0,48,578,6,0.09,2,0,Black,Male,1
49,38,92903.0,41516.0,24,543,16,0.158,1,1,White,Female,1
50,26,34911.0,26712.0,24,756,1,0.317,2,0,White,Female,0
51,56,26027.0,38987.0,48,773,0,0.482,1,0,Asian,Male,0
52,35,112274.0,12487.0,36,675,3,0.317,8,0,White,Female,0
53,21,15233.0,17909.0,48,747,6,0.235,10,1,Black,Female,0
54,42,9708.0,2475.0,36,660,7,0.095,3,0,White,Male,0
55,31,47288.0,48113.0,36,642,1,0.353,3,0,White,Female,0
56,67,26870.0,33726.0,36,623,1,0.199,5,0,Hispanic,Male,0
57,26,19678.0,46727.0,60,625,3,0.388,0,0,White,Male,0
58,43,55549.0,14009.0,24,526,2,0.587,2,0,Black,Male,0
59,70,42036.0,30962.0,24,671,9,0.111,3,0,White,Female,0
60,19,25888.0,34246.0,36,646,3,0.167,1,0,White,Male,0
61,37,16845.0,16560.0,36,709,8,0.31,0,3,Asian,Male,0
62,45,61296.0,42557.0,24,657,4,0.583,1,1,White,Male,0
63,64,53644.0,47411.0,60,636,7,0.474,2,0,Asian,Female,0
64,24,34218.0,44358.0,24,580,2,0.544,0,0,Asian,Male,1
65,61,109972.0,37214.0,60,655,8,0.234,6,2,Asian,Female,0
66,25,19110.0,14596.0,24,709,1,0.596,5,0,Asian,Female,0
67,64,14540.0,14799.0,48,558,3,0.107,3,2,White,Male,0
68,52,23977.0,48205.0,60,656,1,0.079,3,0,Asian,Female,0
69,31,35336.0,1504.0,24,668,3,0.521,1,0,White,Male,0
70,34,42024.0,36086.0,60,592,1,0.56,2,0,White,Female,1
71,53,31422.0,35606.0,36,602,1,0.1,6,2,White,Male,0
72,67,44857.0,31512.0,60,668,17,0.112,2,0,White,Male,0
73,57,17138.0,49515.0,48,559,0,0.068,5,2,Black,Female,1
74,21,86358.0,16282.0,36,677,7,0.107,5,0,White,Male,0
75,19,34569.0,17659.0,24,578,20,0.165,2,2,White,Male,1
76,23,70996.0,4868.0,36,735,0,0.584,5,1,White,Female,0
77,71,44607.0,22697.0,12,837,6,0.417,5,2,White,Female,0
78,59,47765.0,13791.0,24,581,1,0.478,4,1,Hispanic,Female,1
79,21,51116.0,17826.0,24,692,0,0.477,4,2,White,Female,0
80,71,47507.0,41894.0,36,591,2,0.344,1,1,White,Female,1
81,46,53404.0,46839.0,48,733,13,0.489,0,0,White,Male,0
82,35,80619.0,10101.0,24,548,0,0.378,1,0,White,Male,1
83,43,40860.0,19253.0,24,688,4,0.223,1,1,White,Male,0
84,61,55570.0,46503.0,48,580,3,0.359,4,1,White,Female,1
85,51,34412.0,4029.0,24,633,10,0.343,1,1,White,Female,0
86,27,86169.0,5526.0,12,567,0,0.503,4,1,White,Male,0
87,53,24201.0,8977.0,24,715,5,0.59,3,2,White,Female,0
88,31,106998.0,30165.0,60,583,5,0.276,1,2,Other,Male,0
89,48,35451.0,8373.0,48,694,5,0.47,7,2,White,Male,0
90,65,15391.0,48436.0,36,622,14,0.105,2,2,Hispanic,Female,0
91,32,39217.0,22889.0,48,640,8,0.477,7,1,Black,Female,0
92,25,24134.0,25574.0,36,661,0,0.254,3,0,White,Female,0
93,31,60137.0,13086.0,48,589,3,0.072,4,0,Other,Female,1
94,40,24549.0,24077.0,48,666,2,0.25,3,0,Hispanic,Female,0
95,74,27786.0,33434.0,48,772,1,0.386,3,1,Black,Female,0
96,57,11688.0,37808.0,24,587,3,0.116,2,1,White,Male,1
97,38,27684.0,37940.0,12,743,2,0.558,3,1,White,Female,0
98,33,8482.0,29317.0,36,769,2,0.093,3,0,White,Male,0
99,62,14040.0,45314.0,60,584,19,0.562,4,0,White,Male,0
100,35,57311.0,41053.0,36,533,0,0.439,2,0,Hispanic,Male,1
101,64,58191.0,38095.0,48,674,12,0.231,1,2,Asian,Female,0
102,70,46877.0,3725.0,60,606,3,0.265,3,1,White,Male,0
103,41,20329.0,1337.0,24,799,4,0.457,5,1,Hispanic,Female,0
104,43,35291.0,11410.0,48,652,8,0.381,5,1,Hispanic,Female,0
105,42,36237.0,33513.0,48,585,2,0.419,1,0,White,Female,0
106,62,18124.0,21149.0,60,558,2,0.264,1,0,White,Female,0
107,58,89504.0,20718.0,60,737,2,0.318,5,0,White,Female,0
108,46,61477.0,44345.0,48,604,2,0.594,2,1,Hispanic,Male,1
109,32,31806.0,44883.0,24,653,12,0.168,9,1,Hispanic,Female,1
110,62,36906.0,45550.0,48,726,8,0.28,1,1,White,Male,0
111,18,41152.0,16380.0,24,611,0,0.211,5,0,White,Female,0
112,42,10668.0,34862.0,48,646,0,0.471,7,0,Hispanic,Female,0
113,24,31310.0,14310.0,60,648,2,0.47,4,1,Hispanic,Female,0
114,26,24120.0,10340.0,36,704,0,0.211,4,1,White,Male,1
115,41,19911.0,10047.0,48,697,4,0.095,2,0,White,Male,0
116,18,30679.0,17763.0,36,632,0,0.056,5,2,Hispanic,Male,0
117,61,106789.0,22068.0,36,655,3,0.285,4,1,White,Male,0
118,25,53343.0,41717.0,36,620,0,0.276,7,0,White,Female,0
119,41,25778.0,6875.0,48,531,1,0.594,3,3,Hispanic,Female,1
120,28,51203.0,37011.0,60,670,5,0.308,5,0,White,Male,0
121,68,84088.0,27041.0,60,801,3,0.191,5,1,Hispanic,Male,0
122,34,63246.0,15109.0,24,579,19,0.54,2,0,White,Male,1
123,25,37638.0,25148.0,60,588,10,0.32,4,0,White,Male,1
124,52,24633.0,15697.0,48,580,2,0.38,2,1,White,Female,1
125,52,55212.0,30208.0,24,707,0,0.103,4,2,White,Female,0
126,50,45986.0,22258.0,12,685,9,0.261,0,1,White,Female,0
127,22,62138.0,9056.0,24,637,12,0.569,3,0,Black,Male,1
128,59,53162.0,6713.0,60,576,8,0.374,5,1,White,Male,1
129,56,68168.0,27788.0,48,657,0,0.239,3,2,Asian,Female,0
130,58,26340.0,45218.0,48,524,30,0.394,2,1,White,Male,1
131,45,80052.0,17854.0,24,661,1,0.551,2,0,White,Male,0
132,24,40887.0,36917.0,48,719,6,0.201,5,0,White,Male,0
133,26,126141.0,33274.0,12,549,11,0.328,1,0,Black,Female,0
134,25,24016.0,46646.0,36,527,1,0.577,1,0,White,Male,0
135,29,102907.0,41228.0,48,776,11,0.145,3,1,White,Female,0
136,51,40894.0,28764.0,24,601,1,0.446,4,1,Asian,Male,0
137,50,24567.0,33194.0,48,740,18,0.388,1,0,White,Male,0
138,65,27165.0,45021.0,24,637,1,0.424,7,0,White,Female,0
139,72,29965.0,20576.0,48,637,15,0.243,1,1,White,Female,0
140,40,46840.0,17013.0,36,685,0,0.223,2,0,Black,Female,1
141,41,49697.0,1530.0,36,579,6,0.426,2,0,White,Female,0
142,54,25739.0,41501.0,24,660,3,0.169,5,1,Hispanic,Male,0
143,52,35789.0,40248.0,12,619,3,0.281,3,1,Black,Male,0
144,61,131316.0,6118.0,60,544,1,0.153,2,1,Black,Female,0
145,57,102388.0,29266.0,24,676,6,0.055,4,0,White,Female,1
146,39,47183.0,23735.0,48,628,1,0.584,2,0,Other,Male,0
147,44,37153.0,6817.0,60,637,4,0.287,2,1,White,Male,1
148,52,39027.0,49048.0,24,553,1,0.583,5,1,White,Male,0
149,18,52476.0,11520.0,24,777,15,0.127,2,0,White,Female,0
150,52,19660.0,4294.0,48,720,0,0.373,4,0,Hispanic,Female,0
151,54,31119.0,30148.0,60,727,1,0.161,0,0,White,Male,0
152,64,13344.0,37204.0,60,625,1,0.485,8,2,White,Female,0
153,31,46145.0,2590.0,36,511,2,0.481,1,1,Hispanic,Male,1
154,20,53547.0,33277.0,48,806,1,0.112,5,1,White,Female,0
155,18,27176.0,27082.0,24,645,3,0.552,2,1,White,Female,1
156,22,93376.0,6060.0,60,590,10,0.157,5,3,Black,Male,1
157,43,17405.0,9454.0,60,683,6,0.387,1,0,Black,Male,1
158,72,15084.0,28831.0,24,743,4,0.592,4,0,White,Female,0
159,31,41551.0,15522.0,24,648,0,0.535,3,1,White,Male,1
160,56,68068.0,46977.0,24,752,5,0.576,3,0,Other,Female,0
161,44,99743.0,41118.0,24,736,0,0.238,2,0,White,Male,0
162,26,27575.0,49195.0,48,563,7,0.108,2,0,White,Male,0
163,32,69370.0,13724.0,36,596,1,0.154,2,1,Hispanic,Female,0
164,32,35486.0,48516.0,12,726,2,0.325,5,1,White,Male,0
165,43,32742.0,22130.0,36,432,2,0.486,4,0,White,Female,1
166,59,61710.0,18028.0,60,638,9,0.133,2,1,White,Female,0
167,30,53712.0,3467.0,48,535,0,0.413,4,0,White,Female,1
168,68,14103.0,3585.0,36,611,4,0.228,6,0,Hispanic,Female,0
169,49,88073.0,34909.0,24,626,0,0.238,6,0,White,Male,1
170,56,83121.0,23439.0,60,621,6,0.414,2,1,White,Female,0
171,66,24951.0,12100.0,48,605,11,0.307,1,1,Asian,Female,0
172,69,46050.0,31085.0,24,562,2,0.497,2,4,White,Female,0
173,49,48846.0,13390.0,12,833,3,0.136,2,0,Black,Male,0
174,21,42464.0,29304.0,12,799,13,0.484,4,1,White,Female,0
175,47,26103.0,18601.0,24,557,3,0.085,2,0,Black,Female,0
176,54,24271.0,41354.0,36,776,3,0.157,3,0,White,Male,0
177,40,35763.0,41214.0,60,618,4,0.411,3,0,White,Female,1
178,56,73397.0,24390.0,36,660,5,0.52,4,0,White,Female,0
179,62,50320.0,18190.0,48,644,0,0.189,2,0,Black,Male,1
180,32,29075.0,18765.0,36,597,8,0.23,2,0,Black,Female,0
181,60,57700.0,40480.0,48,728,2,0.345,2,1,Black,Female,0
182,46,6574.0,17081.0,48,660,0,0.166,1,1,White,Male,1
183,53,72349.0,11244.0,24,611,7,0.496,4,1,White,Male,1
184,30,12787.0,5150.0,36,545,2,0.476,1,0,Black,Male,1
185,49,29218.0,23868.0,48,578,0,0.13,4,0,Black,Female,0
186,24,18549.0,24624.0,12,518,5,0.305,7,0,Black,Female,0
187,68,16700.0,42205.0,36,650,10,0.476,4,2,White,Male,0
188,39,72875.0,11841.0,36,554,10,0.236,2,0,White,Female,1
189,45,27430.0,19669.0,60,628,15,0.398,2,0,White,Male,0
190,19,44708.0,40612.0,36,759,10,0.078,6,0,White,Female,0
191,59,35307.0,41358.0,48,745,0,0.385,1,0,Asian,Male,0
192,62,48350.0,19846.0,36,647,2,0.134,2,1,Hispanic,Male,0
193,74,38029.0,23497.0,48,643,8,0.507,3,1,White,Male,0
194,70,16818.0,15861.0,36,800,2,0.245,2,1,White,Female,0
195,23,66023.0,46695.0,60,691,4,0.205,6,2,White,Male,0
196,45,27004.0,6814.0,36,623,4,0.512,3,0,Asian,Male,1
197,45,14272.0,46754.0,48,535,2,0.078,3,2,Asian,Female,1
198,61,28089.0,34509.0,48,681,11,0.268,4,0,White,Male,0
199,61,89362.0,27047.0,36,716,3,0.254,0,0,Hispanic,Female,0
200,37,60484.0,2600.0,24,599,3,0.207,3,0,White,Male,0
201,47,29461.0,24304.0,12,673,29,0.551,4,0,White,Male,0
202,28,29450.0,20980.0,12,620,3,0.463,8,0,Hispanic,Male,0
203,72,29942.0,8900.0,60,635,0,0.085,3,1,Black,Male,1
204,45,126254.0,33164.0,24,450,3,0.443,1,1,Hispanic,Male,1
205,42,45668.0,48586.0,24,632,8,0.34,4,1,White,Male,0
206,56,47006.0,28547.0,48,727,7,0.545,1,0,White,Male,0
207,50,67384.0,36023.0,36,599,7,0.222,3,1,White,Female,0
208,18,41910.0,4354.0,36,654,6,0.366,1,0,White,Male,1
209,74,31088.0,21466.0,24,589,1,0.325,6,0,White,Female,0
210,44,32280.0,6702.0,60,678,9,0.319,3,0,White,Female,0
211,74,34788.0,31027.0,60,632,11,0.301,3,2,White,Female,0
212,69,35513.0,46986.0,60,574,1,0.163,5,2,White,Female,0
213,30,56195.0,33427.0,36,756,0,0.466,6,0,Hispanic,Female,0
214,58,37465.0,4763.0,48,724,18,0.298,1,1,Black,Female,0
215,20,56364.0,18379.0,24,601,10,0.577,3,1,Black,Male,0
216,56,34599.0,27983.0,12,689,11,0.193,2,1,White,Male,0
217,23,38070.0,20757.0,12,692,10,0.426,3,2,White,Male,0
218,25,10950.0,41849.0,36,701,3,0.567,3,0,White,Male,0
219,44,62931.0,40919.0,36,514,5,0.415,3,0,White,Male,0
220,26,44707.0,30980.0,36,730,3,0.529,1,0,White,Female,0
221,54,66092.0,19299.0,12,604,0,0.505,1,0,White,Female,0
222,50,6388.0,13511.0,36,621,6,0.248,1,0,Black,Female,0
223,68,127138.0,6188.0,48,850,3,0.38,4,0,Other,Male,0
224,59,33398.0,18390.0,36,674,5,0.136,1,2,White,Male,0
225,61,70609.0,21245.0,48,619,3,0.345,2,0,Hispanic,Male,0
226,41,19459.0,34115.0,24,473,3,0.177,1,0,White,Male,1
227,32,52453.0,33250.0,48,761,0,0.459,3,0,Black,Female,0
228,71,19302.0,4435.0,36,542,1,0.34,1,0,Black,Female,1
229,49,24978.0,20368.0,24,569,0,0.276,2,0,Asian,Male,0
230,49,114510.0,9907.0,24,623,1,0.198,2,0,White,Female,0
231,41,32390.0,8684.0,48,763,18,0.599,4,0,White,Male,0
232,58,41376.0,41538.0,48,711,0,0.089,3,0,White,Male,0
233,69,61208.0,3054.0,36,637,1,0.074,1,0,White,Male,0
234,66,48894.0,21540.0,24,674,4,0.169,4,1,Asian,Female,0
235,66,39745.0,9242.0,60,601,4,0.584,2,0,Hispanic,Female,0
236,69,45206.0,44087.0,48,661,0,0.589,3,0,Hispanic,Female,0
237,29,153591.0,28295.0,36,655,7,0.41,4,0,White,Male,0
238,56,35081.0,12338.0,36,727,7,0.534,2,0,Asian,Male,0
239,19,40973.0,25619.0,24,727,1,0.168,3,0,White,Male,0
240,20,68213.0,36843.0,48,689,1,0.585,4,0,White,Female,1
241,66,70496.0,47948.0,36,621,13,0.129,2,0,Hispanic,Male,1
242,54,74029.0,11802.0,60,709,8,0.106,2,0,White,Male,0
243,66,53276.0,44423.0,36,642,5,0.112,3,1,White,Female,0
244,73,18292.0,46781.0,36,563,0,0.365,8,0,White,Male,1
245,34,96767.0,45905.0,36,617,2,0.48,5,0,Black,Female,0
246,66,18255.0,32135.0,60,656,4,0.252,2,0,Black,Female,1
247,19,43546.0,31861.0,48,722,1,0.588,3,1,White,Male,0
248,19,23096.0,20757.0,36,635,2,0.289,2,0,Hispanic,Male,0
249,45,34945.0,37867.0,48,553,4,0.133,0,1,Hispanic,Male,1
250,71,44234.0,27033.0,36,654,1,0.306,3,0,Asian,Male,0
251,40,44038.0,34194.0,36,659,7,0.423,2,0,White,Female,0
252,54,46777.0,21994.0,24,664,9,0.508,4,1,Hispanic,Female,0
253,49,95629.0,36843.0,36,723,1,0.302,1,0,Hispanic,Female,0
254,50,47673.0,41399.0,24,731,9,0.376,3,0,White,Female,0
255,18,31367.0,8175.0,60,602,0,0.197,3,2,White,Female,0
256,36,64761.0,41814.0,36,600,9,0.405,2,2,White,Female,1
257,19,74138.0,27475.0,60,566,0,0.592,2,2,White,Female,1
258,70,17386.0,42389.0,36,705,0,0.077,4,1,White,Male,0
259,61,51971.0,22134.0,48,765,5,0.538,3,4,White,Male,0
260,43,55310.0,19573.0,36,624,3,0.359,4,0,White,Male,1
261,49,30378.0,45838.0,24,630,11,0.189,2,0,White,Male,0
262,23,82903.0,13307.0,36,767,2,0.575,2,0,White,Male,0
263,49,33189.0,42366.0,12,690,1,0.316,2,0,Hispanic,Male,0
264,72,39157.0,24717.0,48,684,3,0.232,6,0,Hispanic,Female,0
265,21,32734.0,26191.0,36,554,3,0.15,0,0,White,Male,1
266,72,36657.0,16115.0,48,704,2,0.184,2,1,White,Male,0
267,28,18812.0,29079.0,24,575,5,0.508,4,2,White,Female,0
268,73,15306.0,16935.0,24,559,7,0.388,1,0,White,Female,0
269,34,94533.0,2924.0,36,622,9,0.552,3,1,White,Male,0
270,55,21847.0,14328.0,60,603,18,0.178,4,0,Hispanic,Female,0
271,41,20034.0,1313.0,48,632,1,0.117,2,0,White,Male,0
272,22,9976.0,48939.0,36,534,6,0.053,2,0,Hispanic,Female,0
273,69,24751.0,48322.0,36,726,2,0.329,3,0,Black,Male,0
274,51,16418.0,20363.0,12,740,5,0.599,5,0,White,Male,0
275,23,97266.0,36690.0,60,494,3,0.432,4,0,White,Male,1
276,39,66562.0,17944.0,48,728,25,0.22,2,2,White,Female,0
277,28,24031.0,33884.0,24,585,6,0.532,1,2,White,Female,0
278,65,140289.0,40466.0,36,718,15,0.48,4,0,White,Male,0
279,33,65451.0,47391.0,24,644,9,0.058,7,0,Other,Female,1
280,50,29885.0,20610.0,60,652,11,0.499,8,2,Hispanic,Female,1
281,26,8106.0,39382.0,24,635,8,0.215,4,0,Asian,Male,1
282,23,143568.0,14030.0,48,746,3,0.132,4,1,White,Male,0
283,33,15776.0,49526.0,24,550,1,0.174,2,0,White,Female,1
284,46,13531.0,2263.0,48,698,2,0.308,3,1,White,Female,0
285,20,67073.0,30573.0,48,738,0,0.284,3,2,White,Male,0
286,37,156977.0,33316.0,48,707,3,0.209,2,0,White,Female,0
287,53,83330.0,34714.0,48,835,3,0.145,5,0,Black,Female,0
288,36,50937.0,6899.0,60,607,3,0.469,4,0,White,Female,1
289,43,51889.0,46988.0,12,726,18,0.595,2,1,Asian,Male,0
290,20,60600.0,9878.0,36,641,12,0.478,5,0,Asian,Female,1
291,36,57260.0,31515.0,24,748,0,0.213,2,0,White,Female,0
292,37,42990.0,11911.0,60,649,2,0.185,3,0,Hispanic,Male,0
293,49,38658.0,16054.0,36,618,2,0.17,4,0,White,Female,0
294,24,34977.0,27776.0,48,754,2,0.125,1,1,White,Male,0
295,69,23101.0,21442.0,48,610,8,0.353,6,0,Hispanic,Male,1
296,58,30687.0,8851.0,24,536,3,0.383,3,0,White,Male,0
297,50,13151.0,9376.0,24,608,4,0.438,1,1,Asian,Male,0
298,57,34235.0,21489.0,24,699,9,0.424,1,1,Black,Male,0
299,56,20067.0,38107.0,36,761,8,0.211,2,1,Hispanic,Male,0
300,35,18729.0,45000.0,24,658,0,0.232,2,1,Other,Female,0
301,57,40455.0,5122.0,12,755,6,0.425,2,1,White,Male,0
302,18,83717.0,20262.0,60,541,2,0.242,6,1,White,Female,1
303,28,63006.0,5912.0,60,614,1,0.167,0,0,White,Male,1
304,45,14153.0,1813.0,36,626,0,0.256,4,0,White,Male,0
305,74,20055.0,33424.0,36,640,3,0.2,4,1,White,Female,0
306,42,63861.0,30520.0,12,656,2,0.099,5,1,Hispanic,Male,0
307,67,20141.0,8988.0,48,705,1,0.507,4,0,White,Male,0
308,40,31736.0,12457.0,48,614,5,0.519,3,1,Other,Male,0
309,48,50515.0,2162.0,24,661,7,0.171,3,2,Black,Male,0
310,47,20313.0,41912.0,24,646,1,0.086,4,2,White,Female,0
311,59,38686.0,48760.0,48,575,0,0.456,3,1,White,Male,0
312,52,16311.0,7638.0,48,640,9,0.166,5,0,White,Male,1
313,24,25316.0,12342.0,12,638,0,0.266,2,0,White,Male,0
314,33,43997.0,43552.0,48,636,13,0.085,5,1,White,Female,1
315,43,13964.0,46397.0,36,652,4,0.174,1,0,White,Male,0
316,65,47301.0,21562.0,36,656,1,0.486,1,1,Black,Male,0
317,74,35890.0,3481.0,48,615,1,0.492,3,1,White,Female,0
318,69,50589.0,2930.0,48,751,0,0.164,3,0,Hispanic,Male,0
319,66,41537.0,29124.0,36,556,1,0.235,3,0,Hispanic,Female,0
320,19,82329.0,20252.0,60,592,0,0.124,3,1,White,Female,0
321,18,39149.0,2404.0,36,850,4,0.091,1,0,White,Female,0
322,65,28067.0,29579.0,48,566,0,0.596,4,0,Black,Female,1
323,29,39080.0,1554.0,36,541,3,0.411,7,0,Other,Female,1
324,22,50311.0,39581.0,60,708,4,0.348,2,0,White,Male,0
325,54,37396.0,16015.0,60,483,1,0.471,1,0,White,Male,1
326,49,37211.0,2973.0,12,631,0,0.512,4,1,White,Female,1
327,72,23832.0,29829.0,60,821,0,0.494,5,1,White,Male,0
328,26,24398.0,20487.0,48,526,0,0.059,1,0,White,Male,1
329,58,15653.0,48716.0,48,491,6,0.153,3,1,White,Female,1
330,52,103751.0,27666.0,24,530,1,0.41,4,1,Black,Female,0
331,36,17218.0,14487.0,48,721,7,0.257,1,1,White,Male,0
332,65,23963.0,35763.0,60,739,2,0.59,7,1,White,Male,0
333,33,23599.0,14303.0,24,608,3,0.416,2,2,White,Female,1
334,20,62128.0,45308.0,60,704,3,0.576,4,0,Hispanic,Male,0
335,37,30425.0,19361.0,12,761,6,0.161,1,3,White,Female,0
336,41,76776.0,27944.0,24,792,1,0.525,2,0,Other,Female,0
337,71,24244.0,3478.0,36,630,0,0.227,4,1,White,Female,0
338,73,42933.0,21880.0,36,465,4,0.594,4,1,White,Male,1
339,50,22000.0,41786.0,48,584,1,0.137,3,1,White,Female,1
340,41,131543.0,40477.0,12,615,2,0.334,5,1,Black,Female,0
341,69,17809.0,11992.0,60,629,5,0.486,1,1,White,Female,1
342,28,43734.0,12078.0,12,634,3,0.288,5,0,Black,Female,0
343,66,53118.0,41048.0,24,739,4,0.307,3,1,Hispanic,Female,0
344,25,46550.0,46590.0,12,751,3,0.592,1,2,Hispanic,Male,0
345,53,32495.0,5673.0,36,636,6,0.284,8,0,White,Male,0
346,55,33594.0,23053.0,60,737,6,0.382,2,1,Hispanic,Male,0
347,57,37283.0,17535.0,48,678,3,0.08,1,2,White,Female,1
348,37,33250.0,43664.0,48,655,5,0.513,4,0,White,Male,0
349,52,64752.0,5093.0,12,722,10,0.406,2,0,White,Female,0
350,65,136805.0,11345.0,36,655,2,0.272,5,1,Black,Male,1
351,42,25991.0,37871.0,36,814,2,0.059,2,1,White,Male,0
352,52,15964.0,3513.0,36,534,7,0.375,2,2,White,Female,1
353,42,34442.0,25134.0,12,608,4,0.057,0,1,White,Male,0
354,46,170728.0,22663.0,48,639,0,0.051,4,1,White,Male,0
355,35,22422.0,17386.0,36,685,11,0.389,1,0,White,Male,0
356,63,97097.0,20334.0,48,751,0,0.154,3,0,White,Female,0
357,35,99371.0,26967.0,36,648,6,0.156,4,0,White,Male,0
358,19,26052.0,8907.0,24,536,7,0.409,6,0,White,Female,1
359,71,51092.0,29028.0,48,717,15,0.08,4,0,Asian,Female,0
360,52,96475.0,40466.0,24,710,0,0.222,6,1,White,Female,0
361,33,28927.0,38248.0,60,494,4,0.132,4,1,White,Male,1
362,58,32140.0,8541.0,48,649,2,0.369,5,2,White,Male,0
363,53,25616.0,8313.0,24,522,2,0.414,2,1,Hispanic,Female,1
364,50,19755.0,14141.0,60,596,0,0.447,4,1,White,Female,0
365,21,24598.0,18693.0,36,577,4,0.19,4,0,White,Male,0
366,50,17425.0,21014.0,12,714,3,0.099,1,0,White,Male,0
367,31,37066.0,34305.0,48,659,0,0.093,2,0,Other,Male,0
368,38,22880.0,3777.0,24,547,4,0.284,4,0,White,Male,1
369,65,41784.0,2699.0,48,720,6,0.57,2,1,White,Female,0
370,37,14278.0,20204.0,48,535,7,0.17,5,1,White,Male,0
371,73,44291.0,35161.0,60,676,11,0.191,1,0,White,Female,0
372,25,59881.0,10478.0,36,584,2,0.105,6,0,White,Female,1
373,24,10979.0,32434.0,36,620,15,0.383,4,1,Hispanic,Male,1
374,20,45453.0,13732.0,48,690,10,0.424,0,0,White,Male,0
375,34,75857.0,44418.0,24,691,1,0.404,5,1,Black,Male,0
376,50,17575.0,44889.0,36,756,0,0.524,4,0,White,Male,0
377,65,99066.0,15567.0,36,643,2,0.318,5,0,White,Male,0
378,29,46696.0,12270.0,12,674,2,0.124,1,0,White,Male,0
379,68,23789.0,21154.0,36,614,4,0.209,1,0,White,Male,1
380,39,35120.0,12786.0,60,664,4,0.414,2,0,Black,Female,0
381,72,50767.0,33947.0,60,685,6,0.387,0,0,White,Female,0
382,39,38010.0,41477.0,12,642,3,0.342,2,0,Black,Male,0
383,63,50174.0,33982.0,12,505,0,0.426,3,1,Hispanic,Female,1
384,47,20902.0,41393.0,24,676,9,0.401,1,1,White,Female,0
385,55,40200.0,20453.0,60,679,1,0.535,4,0,Asian,Male,0
386,55,15549.0,8660.0,24,595,17,0.372,3,1,White,Female,0
